"date","month","quarter","year","visitors","trends","average_temperature","raining_days","school_holidays"
2015-07-01,7,3,2015,46114,27,26,10,31
2015-08-01,8,3,2015,76719,51,23,12,31
2015-09-01,9,3,2015,53267,35,17,11,15
2015-10-01,10,4,2015,66071,51,12,14,0
2015-11-01,11,4,2015,61020,50,8,1,1
2015-12-01,12,4,2015,67392,58,4,1,11
2016-01-01,1,1,2016,66634,48,3,5,6
2016-02-01,2,1,2016,67770,47,6,13,4
2016-03-01,3,1,2016,93716,57,8,10,7
2016-04-01,4,2,2016,113631,48,13,14,1
2016-05-01,5,2,2016,85624,35,16,15,1
2016-06-01,6,2,2016,53049,33,20,17,22
2016-07-01,7,3,2016,48570,25,24,11,31
2016-08-01,8,3,2016,71162,37,23,8,31
2016-09-01,9,3,2016,47865,29,20,8,11
2016-10-01,10,4,2016,70336,43,12,9,0
2016-11-01,11,4,2016,55527,34,7,10,1
2016-12-01,12,4,2016,73416,47,4,4,7
2017-01-01,1,1,2017,71577,42,1,3,7
2017-02-01,2,1,2017,66775,44,5,11,3
2017-03-01,3,1,2017,85061,53,11,10,0
2017-04-01,4,2,2017,123457,59,13,10,6
2017-05-01,5,2,2017,84862,33,17,10,1
2017-06-01,6,2,2017,50197,20,23,13,20
2017-07-01,7,3,2017,44502,23,23,10,31
2017-08-01,8,3,2017,67844,35,24,8,31
2017-09-01,9,3,2017,59185,30,17,9,11
2017-10-01,10,4,2017,70563,39,14,0,0
2017-11-01,11,4,2017,53978,36,7,7,1
2017-12-01,12,4,2017,72446,42,1,4,7
2018-01-01,1,1,2018,63807,48,5,10,7
2018-02-01,2,1,2018,67534,83,2,12,4
2018-03-01,3,1,2018,86805,50,6,11,3
2018-04-01,4,2,2018,111829,54,14,14,4
2018-05-01,5,2,2018,91965,31,17,29,1
2018-06-01,6,2,2018,48768,21,22,11,21
2018-07-01,7,3,2018,43438,23,24,15,31
2018-08-01,8,3,2018,67736,31,24,15,31
2018-09-01,9,3,2018,49292,33,24,9,10
2018-10-01,10,4,2018,62107,37,14,13,0
2018-11-01,11,4,2018,73431,39,9,21,3
2018-12-01,12,4,2018,82451,41,3,2,7
2019-01-01,1,1,2019,61164,37,2,2,6
2019-02-01,2,1,2019,60524,38,6,2,0
2019-03-01,3,1,2019,98018,47,10,3,5
2019-04-01,4,2,2019,119660,55,12,15,8
2019-05-01,5,2,2019,92378,32,14,21,1
2019-06-01,6,2,2019,49576,23,23,13,22
2019-07-01,7,3,2019,46723,24,24,11,31
2019-08-01,8,3,2019,71473,35,23,7,31
2019-09-01,9,3,2019,56058,30,19,8,8
2019-10-01,10,4,2019,65068,37,15,14,0
2019-11-01,11,4,2019,67511,38,8,20,2
2019-12-01,12,4,2019,65167,38,5,11,8
2020-01-01,1,1,2020,63748,39,4,3,6
2020-02-01,2,1,2020,52910,34,7,2,5
2020-03-01,3,1,2020,2896,41,9,10,0
2020-04-01,4,2,2020,0,26,14,7,6
